DEGREE,ORDER,C_BAR,S_BAR
20.0,18.0,1.53567048646754e-08,-8.97483616979646e-10
20.0,19.0,-3.03011942827495e-09,1.09224394426113e-08
20.0,20.0,3.73507214738094e-09,-1.26949126479726e-08
21.0,0.0,6.24977184727142e-09,0.0
21.0,1.0,-1.61584960390177e-08,2.86922505251025e-08
21.0,2.0,-5.6166957447489e-09,4.1789577346587e-09
21.0,3.0,1.91460394251428e-08,2.27233961252948e-08
21.0,4.0,-5.10972529743564e-09,1.89848723340178e-08
21.0,5.0,2.60621810044519e-09,1.0971648809628e-09
21.0,6.0,-1.35494262411299e-08,1.3712121732731e-11
21.0,7.0,-6.61044220014108e-09,2.5212103741106e-09
21.0,8.0,-1.72312779180303e-08,2.14879443753672e-09
21.0,9.0,1.58563800022178e-08,9.07842486286134e-09
21.0,10.0,-1.13997405607735e-08,-1.14046472237802e-09
21.0,11.0,6.89424285619426e-09,-3.55785033947298e-08
21.0,12.0,-3.32626248475741e-09,1.47748999984542e-08
21.0,13.0,-1.93635228526149e-08,1.3938003264279e-08
21.0,14.0,2.02649547927933e-08,7.35384450372034e-09
21.0,15.0,1.75731363406368e-08,1.0368970851712e-08
21.0,16.0,7.49270977345996e-09,-6.65348605902996e-09
21.0,17.0,-7.4668576180497e-09,-7.3774886390834e-09
21.0,18.0,2.64707224617052e-08,-1.10721542080636e-08
21.0,19.0,-2.7202723563512e-08,1.65551841156344e-08
21.0,20.0,-2.69495467757536e-08,1.59189204425363e-08
21.0,21.0,8.45910170806602e-09,-3.65321656984787e-09
22.0,0.0,-1.07772567310914e-08,0.0
22.0,1.0,1.56810174592028e-08,-3.84060273586347e-09
22.0,2.0,-2.64892851416925e-08,-1.16465930314882e-09
22.0,3.0,1.13438875568191e-08,1.0121431571444e-08
22.0,4.0,-3.61500365031197e-09,1.87274809330152e-08
22.0,5.0,9.6806778529166e-11,-3.18496276236828e-10
22.0,6.0,1.01648080995911e-08,-5.50763247915452e-09
22.0,7.0,1.74645378087162e-08,4.74747333054533e-09
22.0,8.0,-2.34988234728281e-08,3.81455946013761e-09
22.0,9.0,6.6828715954248e-09,8.37665919933101e-09
22.0,10.0,5.62736153524834e-09,2.23513690166568e-08
22.0,11.0,-4.8153059356448e-09,-1.75636129350211e-08
22.0,12.0,2.4184460878285e-09,-8.20832230591832e-09
22.0,13.0,-1.71591275582331e-08,1.95127463989993e-08
22.0,14.0,1.08704662432765e-08,8.32671558042586e-09
22.0,15.0,2.57664603930916e-08,4.71142682022319e-09
22.0,16.0,1.12824875831035e-10,-7.28899313273568e-09
22.0,17.0,8.56694818662282e-09,-1.46000461088908e-08
22.0,18.0,1.01968023898073e-08,-1.62050193177967e-08
22.0,19.0,1.40571747858935e-08,-3.36236450688042e-09
22.0,20.0,-1.67728511120447e-08,1.95826677648397e-08
22.0,21.0,-2.53159625587767e-08,2.39692995280167e-08
22.0,22.0,-1.00792291077701e-08,2.33500809593777e-09
23.0,0.0,-2.2259236935367e-08,0.0
23.0,1.0,9.17464890610878e-09,1.61952286471013e-08
23.0,2.0,-1.43936331663087e-08,-4.58573617697428e-09
23.0,3.0,-2.40771916404486e-08,-1.74957518276718e-08
23.0,4.0,-2.38684204898637e-08,8.2923882795486e-09
23.0,5.0,-8.83211625731366e-10,1.64665275280578e-10
23.0,6.0,-1.19276378612301e-08,1.61304545400405e-08
23.0,7.0,-6.88740550551295e-09,-1.91397852420673e-09
23.0,8.0,7.36058661754965e-09,1.82352729338449e-10
23.0,9.0,1.81819233113364e-09,-1.28499684565167e-08
23.0,10.0,1.68616355823109e-08,-2.26964546882757e-09
23.0,11.0,9.23106099566123e-09,1.42937327655739e-08
23.0,12.0,1.64661359096641e-08,-1.20086167532985e-08
23.0,13.0,-1.16116647358326e-08,-5.20507359211939e-09
23.0,14.0,6.95698850168684e-09,-1.46371127245051e-09
23.0,15.0,1.89460333876311e-08,-3.59114572449078e-09
23.0,16.0,5.90787056073298e-09,1.10767537310355e-08
23.0,17.0,-5.46344574978046e-09,-1.29336873674311e-08
23.0,18.0,8.54349524918403e-09,-1.48171754135083e-08
23.0,19.0,-5.47552535534081e-09,1.06567231826728e-08
23.0,20.0,7.97074457466334e-09,-5.45405930990654e-09
23.0,21.0,1.57093052771851e-08,1.17414500770336e-08
23.0,22.0,-1.79741548069429e-08,4.73423743082551e-09
